Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	College Of Letters & science	ENVIRONMENTAL ECONOMICS & POLICY	131	38	32	3.75 - 4.00	3.72 - 3.96	29%	84%	
Agriculture & Natural Resources	College Of Letters & science	GEOGRAPHY	77	21	13	3.50 - 3.90	3.44 - 3.92	27%	62%	
Agriculture & Natural Resources	College Of Natural resources	CONSERVATION & RESOURCE STUDIES	63	26	19	3.55 - 3.83	3.36 - 3.77	41%	73%	
Agriculture & Natural Resources	College Of Natural resources	ECOSYSTEM MANAGEMENT AND FORESTRY - FORESTRY	10	7	4	3.24 - 3.63	masked	70%	57%	
Agriculture & Natural Resources	College Of Natural resources	ENVIRONMENTAL ECONOMICS & POLICY	110	33	26	3.62 - 3.92	3.58 - 3.92	30%	79%	
Agriculture & Natural Resources	College Of Natural resources	ENVIRONMENTAL SCIENCE	196	23	13	3.67 - 3.93	3.46 - 3.83	12%	57%	
Agriculture & Natural Resources	College Of Natural resources	SOCIETY AND ENVIRONMENT	51	31	20	3.45 - 3.86	3.42 - 3.73	61%	65%	
Architecture & Environ Design	College Of Environmental design	ARCHITECTURE	228	65	53	3.50 - 3.82	3.49 - 3.87	29%	82%	
Architecture & Environ Design	College Of Environmental design	LANDSCAPE ARCHITECTURE	23	5	5	3.36 - 3.84	3.36 - 3.84	22%	100%	
Architecture & Environ Design	College Of Environmental design	SUSTAINABLE ENVIRONMENTAL DESIGN	32	3	3	masked	masked	9%	100%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AFRICAN-AMERICAN STUDIES	39	9	5	3.63 - 3.81	3.63 - 3.75	23%	56%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AMERICAN STUDIES	33	13	10	3.47 - 3.82	3.45 - 3.63	39%	77%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ASIAN AMERICAN AND ASIAN DIASPORA STUDIES	30	7	4	3.74 - 3.97	masked	23%	57%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	CHICANO STUDIES	60	19	9	3.42 - 3.80	3.37 - 3.72	32%	47%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ETHNIC STUDIES	54	12	11	3.40 - 3.72	3.40 - 3.72	22%	92%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	GENDER & WOMEN'S STUDIES	118	25	9	3.77 - 3.95	3.81 - 4.00	21%	36%	
Biological Sciences	College Of Letters & science	INTEGRATIVE BIOLOGY	118	32	13	3.73 - 3.91	3.76 - 3.93	27%	41%	
Biological Sciences	College Of Letters & science	MOLECULAR & CELL BIOLOGY - PL1 - 1	322	108	44	3.62 - 3.91	3.51 - 3.87	34%	41%	
Biological Sciences	College Of Letters & science	MOLECULAR & CELL BIOLOGY - PL1 - 2	71	18	9	3.53 - 3.90	3.53 - 3.95	25%	50%	
Biological Sciences	College Of Letters & science	MOLECULAR & CELL BIOLOGY - PL1 - 3	67	22	10	3.60 - 3.92	3.53 - 3.79	33%	45%	
Biological Sciences	College Of Letters & science	MOLECULAR & CELL BIOLOGY - PL2 - 2	200	67	34	3.55 - 3.94	3.42 - 3.91	34%	51%	
Biological Sciences	College Of Letters & science	MOLECULAR & CELL BIOLOGY - PL2 - 3	151	50	16	3.50 - 3.82	3.25 - 3.64	33%	32%	
Biological Sciences	College Of Natural resources	GENETICS & PLANT BIOLOGY	43	12	8	3.39 - 3.79	3.39 - 3.82	28%	67%	
Biological Sciences	College Of Natural resources	MICROBIAL BIOLOGY	86	35	15	3.53 - 3.85	3.55 - 3.74	41%	43%	
Biological Sciences	College Of Natural resources	MOLECULAR ENVIRONMENTAL BIOLOGY	91	25	7	3.50 - 3.78	3.40 - 3.59	27%	28%	
Business & Management	School Of Business administration	BUSINESS ADMINISTRATION	1,862	107	97	3.86 - 4.00	3.86 - 4.00	6%	91%	
Communication, Journalism & Rel	College Of Letters & science	MEDIA STUDIES	570	219	123	3.52 - 3.93	3.41 - 3.89	38%	56%	
Computer & Information Sciences	College Of Letters & science	COMPUTER SCIENCE	1,043	51	40	3.76 - 3.99	3.73 - 4.00	5%	78%	
Engineering	College Of Chemistry	CHEMICAL ENGINEERING	177	55	34	3.71 - 3.94	3.63 - 3.90	31%	62%	
Engineering	College Of Engineering	BIOENGINEERING	133	20	12	3.89 - 4.00	3.89 - 3.97	15%	60%	
Engineering	College Of Engineering	CIVIL ENGINEERING	164	38	22	3.75 - 3.91	3.73 - 3.87	23%	58%	
Engineering	College Of Engineering	ELECTRICAL ENGINEERING  - COMPUTER SCIENCE	1,316	123	105	3.92 - 4.00	3.90 - 4.00	9%	85%	
