Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	College Of Agric & environ sciences	ANIMAL SCIENCE & MANAGEMENT	14	7	5	3.23 - 3.82	3.79 - 3.83	50%	71%	
Agriculture & Natural Resources	College Of Agric & environ sciences	ANIMAL SCIENCES	218	146	112	3.11 - 3.60	3.07 - 3.59	67%	77%	
Agriculture & Natural Resources	College Of Agric & environ sciences	ECOLOGICAL MANAGEMENT AND RESTORATION	21	15	7	3.30 - 3.85	3.37 - 3.90	71%	47%	
Agriculture & Natural Resources	College Of Agric & environ sciences	ENVIRON POLICY ANALYSIS & PLANNING	54	42	11	3.20 - 3.58	3.04 - 3.51	78%	26%	
Agriculture & Natural Resources	College Of Agric & environ sciences	ENVIRONMENTAL HORTICULTURE & URBAN FORESTRY	17	14	7	3.04 - 3.42	2.89 - 3.26	82%	50%	
Agriculture & Natural Resources	College Of Agric & environ sciences	ENVIRONMENTAL SCIENCE AND MANAGEMENT	141	92	37	3.26 - 3.73	3.20 - 3.73	65%	40%	
Agriculture & Natural Resources	College Of Agric & environ sciences	FOOD SCIENCE	39	31	20	3.14 - 3.66	3.15 - 3.59	79%	65%	
Agriculture & Natural Resources	College Of Agric & environ sciences	PLANT SCIENCES	26	14	9	3.26 - 3.49	3.28 - 3.49	54%	64%	
Agriculture & Natural Resources	College Of Agric & environ sciences	SUSTAINABLE AGRICULTURE AND FOOD SYSTEMS	27	25	20	3.33 - 3.84	3.32 - 3.81	93%	80%	
Agriculture & Natural Resources	College Of Agric & environ sciences	SUSTAINABLE ENVIRONMENTAL DESIGN	43	33	15	3.12 - 3.68	3.04 - 3.58	77%	45%	
Agriculture & Natural Resources	College Of Agric & environ sciences	VITICULTURE & ENOLOGY	23	13	13	3.25 - 3.72	3.25 - 3.72	57%	100%	
Agriculture & Natural Resources	College Of Agric & environ sciences	WILDLIFE, FISH & CONSERVATION BIOLOGY	54	40	28	3.14 - 3.59	3.19 - 3.59	74%	70%	
Architecture & Environ Design	College Of Agric & environ sciences	COMMUNITY & REGIONAL DEVELOPMENT	36	21	9	3.52 - 3.90	3.52 - 3.84	58%	43%	
Architecture & Environ Design	College Of Agric & environ sciences	PRE-LANDSCAPE ARCHITECTURE	84	55	10	3.29 - 3.75	3.29 - 3.46	65%	18%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AFRICAN-AMERICAN STUDIES	20	15	4	3.16 - 3.54	masked	75%	27%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AMERICAN STUDIES	11	10	4	3.35 - 3.62	masked	91%	40%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ASIAN AMERICAN STUDIES	23	20	3	3.24 - 3.74	masked	87%	15%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	CHICANA/0 STUDIES	40	30	9	3.17 - 3.61	2.97 - 3.51	75%	30%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	EAST ASIAN STUDIES	94	75	4	3.43 - 3.85	masked	80%	5%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	GENDER, SEXUALITY, AND WOMEN'S STUDIES	59	46	14	3.30 - 3.78	3.20 - 3.58	78%	30%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	NATIVE AMERICAN STUDIES	13	11	3	3.12 - 3.42	masked	85%	27%	
Biological Sciences	College Of Agric & environ sciences	ANIMAL BIOLOGY	80	54	38	3.07 - 3.60	3.08 - 3.63	68%	70%	
Biological Sciences	College Of Agric & environ sciences	BIOTECHNOLOGY	50	29	18	3.51 - 3.89	3.50 - 3.87	58%	62%	
Biological Sciences	College Of Agric & environ sciences	ENVIRONMENTAL TOXICOLOGY	20	10	6	3.17 - 3.61	3.05 - 3.58	50%	60%	
Biological Sciences	College Of Agric & environ sciences	GLOBAL DISEASE BIOLOGY	129	86	56	3.04 - 3.53	3.05 - 3.54	67%	65%	
Biological Sciences	College Of Biological sciences	BIOCHEMISTRY- MOLECULAR BIOLOGY	459	267	84	3.39 - 3.88	3.26 - 3.75	58%	31%	
Biological Sciences	College Of Biological sciences	BIOLOGICAL SCIENCES	859	404	150	3.33 - 3.78	3.26 - 3.74	47%	37%	
Biological Sciences	College Of Biological sciences	CELL BIOLOGY	111	54	16	3.42 - 3.86	3.24 - 3.73	49%	30%	
Biological Sciences	College Of Biological sciences	EVOLUTION, ECOLOGY & BIODIVERSITY	46	22	11	3.35 - 3.69	3.21 - 3.76	48%	50%	
Biological Sciences	College Of Biological sciences	GENETICS AND GENOMICS	75	42	18	3.38 - 3.80	3.29 - 3.66	56%	43%	
Biological Sciences	College Of Biological sciences	MICROBIOLOGY	80	40	16	3.41 - 3.75	3.40 - 3.63	50%	40%	
Biological Sciences	College Of Biological sciences	NEUROBIOLOGY, PHYSIOLOGY, & BEHAVIOR	284	152	51	3.33 - 3.82	3.28 - 3.70	54%	34%	
Business & Management	College Of Agric & environ sciences	MANAGERIAL ECONOMICS	701	566	231	3.36 - 3.82	3.28 - 3.68	81%	41%	
Communication, Journalism & Rel	College Of Letters & science	COMMUNICATION	659	417	83	3.41 - 3.84	3.26 - 3.69	63%	20%	
Computer & Information Sciences	College Of Letters & science	COMPUTER SCIENCE	1,128	222	73	3.74 - 3.96	3.67 - 3.91	20%	33%	
Education	College Of Agric & environ sciences	AGRICULTURAL AND ENVIRONMENTAL EDUCATION	54	22	11	3.03 - 3.57	3.02 - 3.40	41%	50%	
Engineering	College Of Engineering	AEROSPACE SCIENCE AND ENGINEERING	140	35	11	3.45 - 3.86	3.33 - 3.73	25%	31%	
Engineering	College Of Engineering	BIOCHEMICAL ENGINEERING	23	13	7	3.45 - 3.90	3.42 - 3.93	57%	54%	
Engineering	College Of Engineering	BIOMEDICAL ENGINEERING	155	37	14	3.68 - 3.85	3.68 - 3.84	24%	38%	
Engineering	College Of Engineering	CHEMICAL ENGINEERING	149	42	15	3.56 - 3.88	3.50 - 3.69	28%	36%	
Engineering	College Of Engineering	CIVIL ENGINEERING	205	83	26	3.54 - 3.89	3.47 - 3.78	40%	31%	
Engineering	College Of Engineering	COMPUTER ENGINEERING	125	22	12	3.43 - 3.85	3.40 - 3.72	18%	55%	
