Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	College Of Letters & science	ENVIRONMENTAL SCIENCE	121	28	12	3.64 - 3.89	3.61 - 3.74	23%	43%	
Architecture & Environ Design	School Of The arts & architecture	ARCHITECTURAL STUDIES	204	31	16	3.62 - 3.94	3.60 - 3.78	15%	52%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AFRICAN AMERICAN STUDIES	70	27	18	3.34 - 3.72	3.34 - 3.67	39%	67%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	AMERICAN INDIAN STUDIES	20	10	7	3.47 - 3.60	3.38 - 3.58	50%	70%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ASIAN AMERICAN STUDIES	56	16	7	3.64 - 3.82	3.60 - 3.80	29%	44%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ASIAN HUMANITIES	99	25	15	3.60 - 3.90	3.56 - 3.82	25%	60%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	CHICANA & CHICANO STUDIES	98	42	20	3.38 - 3.70	3.32 - 3.67	43%	48%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	GENDER STUDIES	226	89	59	3.53 - 3.86	3.53 - 3.83	39%	66%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	PRE-ASIAN STUDIES	115	28	18	3.65 - 3.86	3.68 - 3.84	24%	64%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	PRE-LATIN AMERICAN STUDIES	16	4	4	masked	masked	25%	100%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	SPANISH AND COMMUNITY AND CULTURE	18	11	7	3.50 - 3.82	3.37 - 3.66	61%	64%	
Biological Sciences	College Of Letters & science	BIOCHEMISTRY	404	121	64	3.80 - 3.96	3.81 - 3.96	30%	53%	
Biological Sciences	College Of Letters & science	BIOLOGY	1,008	163	93	3.78 - 3.94	3.76 - 3.93	16%	57%	
Biological Sciences	College Of Letters & science	MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS	109	34	20	3.74 - 3.93	3.69 - 3.92	31%	59%	
Biological Sciences	College Of Letters & science	MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY	236	71	41	3.81 - 3.95	3.81 - 3.95	30%	58%	
Biological Sciences	College Of Letters & science	NEUROSCIENCE	195	40	30	3.67 - 3.92	3.66 - 3.92	21%	75%	
Biological Sciences	College Of Letters & science	PHYSIOLOGICAL SCIENCE	113	30	25	3.67 - 3.91	3.66 - 3.90	27%	83%	
