Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	College Of Natural & agricultural sci	ENVIRONMENTAL SCIENCE	103	52	12	2.86 - 3.40	2.82 - 3.35	50%	23%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	AFRICAN-AMERICAN STUDIES	24	20	6	2.99 - 3.33	2.98 - 3.36	83%	30%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	ASIAN STUDIES	86	75	4	2.89 - 3.69	masked	87%	5%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	CHICANO STUDIES	44	36	7	2.81 - 3.32	2.58 - 3.02	82%	19%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	ETHNIC STUDIES	18	14	5	2.73 - 3.64	2.48 - 2.96	78%	36%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	GENDER AND SEXUALITY STUDIES	31	28	3	2.92 - 3.32	masked	90%	11%	
Area, Ethn, Cultur & Gender Stu	College Of Humanities & social sci	LATIN-AMERICAN STUDIES	5	4	3	masked	masked	80%	75%	
Biological Sciences	College Of Humanities & social sci	NEUROSCIENCE	37	21	9	2.74 - 3.75	2.73 - 3.14	57%	43%	
Biological Sciences	College Of Natural & agricultural sci	BIOCHEMISTRY	364	249	71	2.91 - 3.70	2.78 - 3.45	68%	29%	
Biological Sciences	College Of Natural & agricultural sci	BIOLOGY	801	550	126	2.97 - 3.58	2.71 - 3.37	69%	23%	
Biological Sciences	College Of Natural & agricultural sci	CELL, MOLECULAR, & DEVELOPMENTAL BIOLOGY	171	111	21	3.03 - 3.55	2.97 - 3.32	65%	19%	
Biological Sciences	College Of Natural & agricultural sci	MICROBIOLOGY	64	50	10	2.89 - 3.56	2.82 - 3.40	78%	20%	
Biological Sciences	College Of Natural & agricultural sci	NEUROSCIENCE	121	96	25	3.00 - 3.64	2.89 - 3.20	79%	26%	
Biological Sciences	College Of Natural & agricultural sci	PLANT BIOLOGY	45	23	4	2.91 - 3.45	masked	51%	17%	
Business & Management	College Of Humanities & social sci	BUSINESS ECONOMICS	282	203	30	3.00 - 3.67	2.63 - 3.20	72%	15%	
Business & Management	College Of Humanities & social sci	PRE-BUSINESS ADMINISTRATION	7	7	5	3.05 - 3.71	2.77 - 3.35	100%	71%	
Business & Management	School Of Business administration	BUSINESS ADMINISTRATION	1,677	1,207	319	3.08 - 3.70	2.97 - 3.51	72%	26%	
Computer & Information Sciences	College Of Engineering	COMPUTER SCIENCE	1,121	470	119	3.10 - 3.71	2.97 - 3.44	42%	25%	
Computer & Information Sciences	College Of Engineering	INFORMATION SCIENCES	42	19	6	3.16 - 3.61	2.81 - 3.34	45%	32%	
