Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	College Of Letters & science	ENVIRONMENTAL STUDIES	241	106	35	3.31 - 3.79	3.17 - 3.51	44%	33%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	ASIAN STUDIES	127	71	4	3.26 - 3.84	masked	56%	6%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	BLACK STUDIES	26	11	3	3.03 - 3.34	masked	42%	27%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	CHICANO STUDIES	53	22	3	3.25 - 3.63	masked	42%	14%	
Area, Ethn, Cultur & Gender Stu	College Of Letters & science	FEMINIST STUDIES	77	49	8	3.13 - 3.78	3.11 - 3.45	64%	16%	
Biological Sciences	College Of Letters & science	BIOLOGICAL SCIENCES	1,679	739	129	3.42 - 3.83	3.29 - 3.78	44%	17%	
Business & Management	College Of Letters & science	ACTUARIAL SCIENCE	131	90	27	3.53 - 3.92	3.48 - 3.80	69%	30%	
Communication, Journalism & Rel	College Of Letters & science	COMMUNICATION STUDIES	1,387	821	298	3.35 - 3.83	3.26 - 3.67	59%	36%	
Computer & Information Sciences	College Of Engineering	COMPUTER SCIENCE	1,329	87	4	3.87 - 4.00	masked	7%	5%	
Engineering	College Of Engineering	CHEMICAL ENGINEERING	667	94	13	3.74 - 3.94	3.61 - 3.91	14%	14%	
Engineering	College Of Engineering	COMPUTER ENGINEERING	188	36	5	3.71 - 3.97	3.63 - 3.80	19%	14%	
Engineering	College Of Engineering	ELECTRICAL ENGINEERING	331	78	11	3.70 - 3.93	3.67 - 3.85	24%	14%	
Fine & Applied Arts	College Of Letters & science	ART - STUDIO	184	128	26	3.43 - 3.85	3.41 - 3.90	70%	20%	
Fine & Applied Arts	College Of Letters & science	ART HISTORY	99	59	6	3.30 - 3.83	3.36 - 3.71	60%	10%	
Fine & Applied Arts	College Of Letters & science	DANCE	23	9	3	3.54 - 3.69	masked	39%	33%	
Fine & Applied Arts	College Of Letters & science	FILM STUDIES	417	224	64	3.39 - 3.82	3.20 - 3.67	54%	29%	
Fine & Applied Arts	College Of Letters & science	MUSIC	52	26	9	3.36 - 3.71	3.17 - 3.65	50%	35%	
Fine & Applied Arts	College Of Letters & science	THEATER	141	79	15	3.46 - 3.77	3.41 - 3.88	56%	19%	
Foreign Languages & Lliterature	College Of Letters & science	JAPANESE	66	39	3	3.30 - 3.72	masked	59%	8%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS	182	114	12	3.33 - 3.76	3.20 - 3.47	63%	11%	
Foreign Languages & Lliterature	College Of Letters & science	SPANISH	75	47	10	3.19 - 3.74	3.10 - 3.64	63%	21%	
Interdisciplinary Studies	College Of Letters & science	GLOBAL STUDIES	263	162	46	3.32 - 3.86	3.26 - 3.68	62%	28%	
Letters	College Of Letters & science	ENGLISH	518	334	56	3.34 - 3.83	3.22 - 3.65	64%	17%	
Letters	College Of Letters & science	HISTORY	382	249	43	3.38 - 3.86	3.13 - 3.68	65%	17%	
Letters	College Of Letters & science	PHILOSOPHY	302	206	26	3.35 - 3.85	3.26 - 3.68	68%	13%	
Letters	College Of Letters & science	RELIGIOUS STUDIES	17	10	3	3.51 - 3.91	masked	59%	30%	
Mathematics	College Of Letters & science	FINANCIAL MATHEMATICS & STATISTICS	156	106	25	3.56 - 3.92	3.40 - 3.80	68%	24%	
Mathematics	College Of Letters & science	MATHEMATICAL SCIENCES	148	88	10	3.56 - 3.89	3.66 - 3.84	59%	11%	
Mathematics	College Of Letters & science	MATHEMATICS	459	280	37	3.46 - 3.90	3.36 - 3.79	61%	13%	
Mathematics	College Of Letters & science	STATISTICAL SCIENCE	217	148	28	3.57 - 3.92	3.25 - 3.65	68%	19%	
Physical Sciences	College Of Letters & science	CHEMISTRY	504	314	46	3.34 - 3.83	3.25 - 3.58	62%	15%	
Physical Sciences	College Of Letters & science	GEOLOGY	65	32	10	3.33 - 3.61	3.29 - 3.53	49%	31%	
Physical Sciences	College Of Letters & science	PHYSICS	303	180	46	3.38 - 3.82	3.31 - 3.76	59%	26%	
Psychology	College Of Letters & science	BIOPSYCHOLOGY	235	147	32	3.34 - 3.76	3.25 - 3.48	63%	22%	
Psychology	College Of Letters & science	PSYCHOLOGICAL AND BRAIN SCIENCE	1,177	672	166	3.37 - 3.83	3.33 - 3.70	57%	25%	
Social Sciences	College Of Letters & science	ANTHROPOLOGY	409	245	51	3.31 - 3.83	3.27 - 3.65	60%	21%	
Social Sciences	College Of Letters & science	ECONOMICS	1,997	1,006	242	3.41 - 3.87	3.24 - 3.66	50%	24%	
Social Sciences	College Of Letters & science	ECONOMICS AND ACCOUNTING	1,224	734	229	3.49 - 3.87	3.35 - 3.68	60%	31%	
Social Sciences	College Of Letters & science	GEOGRAPHY	78	63	16	3.36 - 3.84	3.19 - 3.58	81%	25%	
Social Sciences	College Of Letters & science	POLITICAL SCIENCE	951	625	115	3.36 - 3.86	3.26 - 3.61	66%	18%	
Social Sciences	College Of Letters & science	SOCIOLOGY	1,197	739	178	3.30 - 3.80	3.20 - 3.60	62%	24%	
