Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL STUDIES	103	30	20	2.98 - 3.73	2.88 - 3.67	29%	67%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL STUDIES/BIOLOGY	27	9	3	3.15 - 3.40	masked	33%	33%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL STUDIES/EARTH SCIENCE	23	3	3	masked	masked	13%	100%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL STUDIES/ECONOMICS	32	6	4	2.97 - 3.59	masked	19%	67%	
Agriculture & Natural Resources	Not applicable	PLANT SCIENCE	36	11	5	2.76 - 3.51	2.70 - 3.02	31%	45%	
Area, Ethn, Cultur & Gender Stu	Not applicable	ETHNIC STUDIES	50	42	4	2.87 - 3.71	masked	84%	10%	
Area, Ethn, Cultur & Gender Stu	Not applicable	LATIN AMERICAN & LATINO STUDIES	19	17	3	3.07 - 3.60	masked	89%	18%	
Area, Ethn, Cultur & Gender Stu	Not applicable	WOMEN'S STUDIES	68	54	9	3.04 - 3.62	3.05 - 3.71	79%	17%	
Biological Sciences	Not applicable	BIOCHEMISTRY- MOLECULAR BIOLOGY	152	91	16	3.12 - 3.76	2.87 - 3.40	60%	18%	
Biological Sciences	Not applicable	BIOLOGY	630	355	64	3.00 - 3.57	2.92 - 3.26	56%	18%	
Biological Sciences	Not applicable	ECOLOGY & EVOLUTION	63	37	12	2.96 - 3.50	2.79 - 3.37	59%	32%	
Biological Sciences	Not applicable	HEALTH SCIENCES	127	75	16	3.05 - 3.57	2.90 - 3.19	59%	21%	
Biological Sciences	Not applicable	MARINE BIOLOGY	96	45	21	2.97 - 3.74	2.82 - 3.47	47%	47%	
Biological Sciences	Not applicable	MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY	104	72	25	2.90 - 3.53	2.82 - 3.18	69%	35%	
Biological Sciences	Not applicable	NEUROSCIENCE	115	64	11	3.06 - 3.61	2.78 - 3.10	56%	17%	
Business & Management	Not applicable	BUSINESS MANAGEMENT - ECONOMICS	897	478	50	3.13 - 3.70	2.83 - 3.34	53%	10%	
Computer & Information Sciences	Not applicable	COMPUTER SCIENCE	1,359	626	201	3.24 - 3.78	3.09 - 3.57	46%	32%	
Computer & Information Sciences	Not applicable	COMPUTER  SCIENCE: COMPUTER GAME DESIGN	187	70	44	3.06 - 3.57	3.01 - 3.53	37%	63%	
Education	Not applicable	SCIENCE EDUCATION	18	16	4	2.91 - 3.23	masked	89%	25%	
Engineering	Not applicable	BIOENGINEERING	88	48	8	2.99 - 3.67	2.71 - 3.41	55%	17%	
Engineering	Not applicable	COMPUTER ENGINEERING	162	74	16	3.19 - 3.65	3.01 - 3.36	46%	22%	
Engineering	Not applicable	ELECTRICAL ENGINEERING	266	139	22	3.14 - 3.68	2.87 - 3.54	52%	16%	
Engineering	Not applicable	ROBOTICS ENGINEERING BS	104	50	5	3.28 - 3.79	3.28 - 3.66	48%	10%	
Fine & Applied Arts	Not applicable	ART	164	126	21	3.07 - 3.67	2.87 - 3.35	77%	17%	
Fine & Applied Arts	Not applicable	ART AND DESIGN: GAMES AND PLAYABLE MEDIA	86	22	15	3.03 - 3.60	2.96 - 3.59	26%	68%	
Fine & Applied Arts	Not applicable	ART HISTORY	64	49	9	3.05 - 3.54	2.75 - 3.48	77%	18%	
Fine & Applied Arts	Not applicable	FILM AND DIGITAL MEDIA	395	290	78	3.00 - 3.66	2.87 - 3.43	73%	27%	
Fine & Applied Arts	Not applicable	MUSIC	53	32	5	2.86 - 3.49	2.96 - 3.35	60%	16%	
Fine & Applied Arts	Not applicable	THEATER ARTS	102	76	12	3.10 - 3.75	2.89 - 3.60	75%	16%	
Foreign Languages & Lliterature	Not applicable	APPLIED LINGUISTICS AND MULTILINGUALISM	25	22	6	2.99 - 3.68	2.94 - 3.35	88%	27%	
Foreign Languages & Lliterature	Not applicable	LANGUAGE STUDIES	97	62	7	2.84 - 3.53	2.54 - 3.22	64%	11%	
Foreign Languages & Lliterature	Not applicable	LINGUISTICS	92	79	13	2.95 - 3.73	2.83 - 3.15	86%	16%	
Foreign Languages & Lliterature	Not applicable	SPANISH STUDIES	46	35	3	3.01 - 3.62	masked	76%	9%	
Interdisciplinary Studies	Not applicable	COGNITIVE SCIENCE	135	61	19	3.09 - 3.72	2.91 - 3.37	45%	31%	
Interdisciplinary Studies	Not applicable	UNDECLARED	151	47	13	3.17 - 3.58	3.13 - 3.38	31%	28%	
Law	Not applicable	LEGAL STUDIES	112	84	21	2.83 - 3.56	2.57 - 3.56	75%	25%	
Letters	Not applicable	HISTORY	248	209	30	3.00 - 3.64	2.95 - 3.59	84%	14%	
Letters	Not applicable	LITERATURE	351	270	44	3.03 - 3.68	2.85 - 3.49	77%	16%	
Letters	Not applicable	PHILOSOPHY	197	164	25	2.98 - 3.69	2.76 - 3.29	83%	15%	
Mathematics	Not applicable	MATHEMATICS	377	319	52	3.01 - 3.67	2.69 - 3.37	85%	16%	
Physical Sciences	Not applicable	APPLIED PHYSICS	17	13	3	3.16 - 3.63	masked	76%	23%	
Physical Sciences	Not applicable	ASTROPHYSICS	63	35	8	3.13 - 3.70	3.23 - 3.73	56%	23%	
Physical Sciences	Not applicable	CHEMISTRY	233	95	13	3.16 - 3.71	2.85 - 3.20	41%	14%	
Physical Sciences	Not applicable	EARTH SCIENCE	87	69	24	2.88 - 3.43	2.66 - 3.24	79%	35%	
Physical Sciences	Not applicable	PHYSICS	130	83	15	3.12 - 3.68	2.91 - 3.48	64%	18%	
Psychology	Not applicable	PSYCHOLOGY	1,046	431	132	3.11 - 3.75	2.92 - 3.64	41%	31%	
Public Admin & Social Serv Prof	Not applicable	COMMUNITY STUDIES	194	151	36	2.89 - 3.65	2.77 - 3.16	78%	24%	
Social Sciences	Not applicable	ANTHROPOLOGY	341	283	59	2.93 - 3.66	2.86 - 3.51	83%	21%	
Social Sciences	Not applicable	EARTH SCIENCE/ANTHROPOLOGY	9	8	4	3.05 - 3.61	masked	89%	50%	
Social Sciences	Not applicable	ECONOMICS	756	453	40	3.12 - 3.67	2.87 - 3.25	60%	9%	
Social Sciences	Not applicable	GLOBAL ECONOMICS	56	24	3	3.26 - 3.72	masked	43%	13%	
Social Sciences	Not applicable	POLITICS	576	484	72	3.01 - 3.70	2.56 - 3.38	84%	15%	
Social Sciences	Not applicable	SOCIOLOGY	724	490	106	2.96 - 3.59	2.82 - 3.39	68%	22%	
