Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL SYSTEMS - EARTH SCIENCES	51	32	6	3.36 - 3.78	3.39 - 3.75	63%	19%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL SYSTEMS - ECOLOGY, BEHAVIOR, EVOLUTION	65	42	11	3.34 - 3.66	3.43 - 3.69	65%	26%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL SYSTEMS - ENVIRONMENTAL CHEMISTRY	21	13	5	3.19 - 3.59	3.15 - 3.27	62%	38%	
Agriculture & Natural Resources	Not applicable	ENVIRONMENTAL SYSTEMS - ENVIRONMENTAL POLICY	64	31	3	3.22 - 3.66	masked	48%	10%	
Architecture & Environ Design	Not applicable	REAL ESTATE AND DEVELOPMENT	81	58	22	3.43 - 3.76	3.46 - 3.68	72%	38%	
Area, Ethn, Cultur & Gender Stu	Not applicable	CHINESE STUDIES	106	51	3	3.45 - 3.91	masked	48%	6%	
Area, Ethn, Cultur & Gender Stu	Not applicable	CRITICAL GENDER STUDIES	71	46	9	3.32 - 3.85	3.20 - 3.34	65%	20%	
Area, Ethn, Cultur & Gender Stu	Not applicable	ETHNIC STUDIES	52	29	4	3.26 - 3.72	masked	56%	14%	
Area, Ethn, Cultur & Gender Stu	Not applicable	JAPANESE STUDIES	83	57	5	3.50 - 3.81	3.51 - 3.73	69%	9%	
Biological Sciences	Not applicable	BIOLOGY	623	328	97	3.40 - 3.78	3.35 - 3.73	53%	30%	
Biological Sciences	Not applicable	ECOLOGY, BEHAVIOR & EVOLUTION	72	37	7	3.28 - 3.77	3.36 - 3.70	51%	19%	
Biological Sciences	Not applicable	HUMAN BIOLOGY	497	264	93	3.38 - 3.86	3.33 - 3.80	53%	35%	
Biological Sciences	Not applicable	MARINE BIOLOGY	100	62	26	3.22 - 3.62	3.29 - 3.72	62%	42%	
Biological Sciences	Not applicable	MICROBIOLOGY	96	56	20	3.30 - 3.78	3.41 - 3.75	58%	36%	
Biological Sciences	Not applicable	MOLECULAR & CELL BIOLOGY	317	206	54	3.46 - 3.88	3.36 - 3.69	65%	26%	
Biological Sciences	Not applicable	NEUROBIOLOGY	197	116	33	3.40 - 3.77	3.43 - 3.71	59%	28%	
Business & Management	Not applicable	MANAGEMENT SCIENCE	166	97	22	3.53 - 3.89	3.51 - 3.80	58%	23%	
Communication, Journalism & Rel	Not applicable	COMMUNICATION ARTS	1,142	663	114	3.40 - 3.85	3.37 - 3.77	58%	17%	
Computer & Information Sciences	Not applicable	COMPUTER SCIENCE	1,552	310	149	3.83 - 4.00	3.79 - 4.00	20%	48%	
Engineering	Not applicable	AEROSPACE ENGINEERING	163	42	3	3.57 - 3.90	masked	26%	7%	
Engineering	Not applicable	BIOENGINEERING	119	47	12	3.58 - 3.94	3.75 - 3.96	39%	26%	
Engineering	Not applicable	BIOENGINEERING (BIOTECH)	47	24	10	3.43 - 3.86	3.61 - 3.78	51%	42%	
Engineering	Not applicable	CHEMICAL ENGINEERING	171	92	23	3.51 - 3.90	3.48 - 3.81	54%	25%	
Engineering	Not applicable	COMPUTER ENGINEERING	101	61	25	3.54 - 3.83	3.49 - 3.76	60%	41%	
